"Data.in.Byte" , "Gap.in.Byte" , "Datasieving.1.on" , "Buffer.in.MByte" , "fill_level"     , "mean_value"      
32768          , 1024          , 1                  , 1                 , 96.969696969697  , 94.0677874        
32768          , 1024          , 1                  , 4                 , 96.969696969697  , 94.6333088        
32768          , 1024          , 1                  , 100               , 96.969696969697  , 94.6333088        
32768          , 2048          , 0                  , 4                 , 94.1176470588235 , 46.0893838        
32768          , 2048          , 1                  , 1                 , 94.1176470588235 , 89.8670138        
32768          , 2048          , 1                  , 4                 , 94.1176470588235 , 92.198527         
32768          , 2048          , 1                  , 100               , 94.1176470588235 , 92.198527         
32768          , 4096          , 0                  , 4                 , 88.8888888888889 , 47.6861842        
32768          , 4096          , 1                  , 1                 , 88.8888888888889 , 86.019715         
32768          , 4096          , 1                  , 4                 , 88.8888888888889 , 85.7342542        
32768          , 4096          , 1                  , 100               , 88.8888888888889 , 85.7342542        
32768          , 8192          , 0                  , 4                 , 80               , 50.483125         
32768          , 8192          , 1                  , 1                 , 80               , 77.9350552        
32768          , 8192          , 1                  , 4                 , 80               , 77.8689048        
32768          , 8192          , 1                  , 100               , 80               , 77.8689048        
32768          , 16384         , 0                  , 4                 , 66.6666666666667 , 53.3410734        
32768          , 16384         , 1                  , 1                 , 66.6666666666667 , 65.2332522        
32768          , 16384         , 1                  , 4                 , 66.6666666666667 , 64.4480336        
32768          , 16384         , 1                  , 100               , 66.6666666666667 , 64.4480336        
32768          , 32768         , 0                  , 4                 , 50               , 48.8768038        
32768          , 32768         , 1                  , 1                 , 50               , 48.6045182        
32768          , 32768         , 1                  , 4                 , 50               , 48.0833632        
32768          , 32768         , 1                  , 100               , 50               , 48.0833632        
32768          , 65536         , 0                  , 4                 , 33.3333333333333 , 11.7090528        
32768          , 65536         , 1                  , 1                 , 33.3333333333333 , 19.7617852        
32768          , 65536         , 1                  , 4                 , 33.3333333333333 , 21.1709534        
32768          , 65536         , 1                  , 100               , 33.3333333333333 , 21.1709534        
32768          , 98304         , 0                  , 4                 , 25               , 12.7031832        
32768          , 98304         , 1                  , 1                 , 25               , 17.022197         
32768          , 98304         , 1                  , 4                 , 25               , 17.9784474        
32768          , 98304         , 1                  , 100               , 25               , 17.9784474        
32768          , 131072        , 0                  , 4                 , 20               , 11.8165164        
32768          , 131072        , 1                  , 1                 , 20               , 17.3278886        
32768          , 131072        , 1                  , 4                 , 20               , 18.4393234        
32768          , 131072        , 1                  , 100               , 20               , 18.4393234        
32768          , 163840        , 0                  , 4                 , 16.6666666666667 , 13.276334         
32768          , 163840        , 1                  , 1                 , 16.6666666666667 , 16.4531588        
32768          , 163840        , 1                  , 4                 , 16.6666666666667 , 18.0361298        
32768          , 163840        , 1                  , 100               , 16.6666666666667 , 18.0361298        
32768          , 196608        , 0                  , 4                 , 14.2857142857143 , 12.7667908        
32768          , 196608        , 1                  , 1                 , 14.2857142857143 , 14.4902728        
32768          , 196608        , 1                  , 4                 , 14.2857142857143 , 16.7021598        
32768          , 196608        , 1                  , 100               , 14.2857142857143 , 16.7021598        
32768          , 229376        , 0                  , 4                 , 12.5             , 12.9143288        
32768          , 229376        , 1                  , 1                 , 12.5             , 12.0390068        
32768          , 229376        , 1                  , 4                 , 12.5             , 12.4854192        
32768          , 229376        , 1                  , 100               , 12.5             , 12.4854192        
32768          , 262144        , 0                  , 4                 , 11.1111111111111 , 11.4832878        
32768          , 262144        , 1                  , 1                 , 11.1111111111111 , 8.7871346         
32768          , 262144        , 1                  , 4                 , 11.1111111111111 , 9.2906546         
32768          , 262144        , 1                  , 100               , 11.1111111111111 , 9.2906546         
32768          , 294912        , 0                  , 4                 , 10               , 10.633002         
32768          , 294912        , 1                  , 1                 , 10               , 10.3971182        
32768          , 294912        , 1                  , 4                 , 10               , 11.127489         
32768          , 294912        , 1                  , 100               , 10               , 11.127489         
32768          , 327680        , 0                  , 4                 , 9.09090909090909 , 12.281536         
32768          , 327680        , 1                  , 1                 , 9.09090909090909 , 10.157568         
32768          , 327680        , 1                  , 4                 , 9.09090909090909 , 10.942567         
32768          , 327680        , 1                  , 100               , 9.09090909090909 , 10.942567         
32768          , 360448        , 0                  , 4                 , 8.33333333333333 , 12.2064518        
32768          , 360448        , 1                  , 1                 , 8.33333333333333 , 9.3398824         
32768          , 360448        , 1                  , 4                 , 8.33333333333333 , 9.582861          
32768          , 360448        , 1                  , 100               , 8.33333333333333 , 9.582861          
131072         , 0             , 0                  , 4                 , 100              , 97.0039024        
131072         , 0             , 1                  , 1                 , 100              , 96.7141572        
131072         , 0             , 1                  , 4                 , 100              , 97.238891         
131072         , 0             , 1                  , 100               , 100              , 97.238891         
131072         , 2048          , 0                  , 4                 , 98.4615384615385 , 95.8444604        
131072         , 2048          , 1                  , 1                 , 98.4615384615385 , 95.031417         
131072         , 2048          , 1                  , 4                 , 98.4615384615385 , 96.1332852        
131072         , 2048          , 1                  , 100               , 98.4615384615385 , 96.1332852        
131072         , 4096          , 0                  , 4                 , 96.969696969697  , 94.3687536        
131072         , 4096          , 1                  , 1                 , 96.969696969697  , 93.4888154        
131072         , 4096          , 1                  , 4                 , 96.969696969697  , 94.4728208        
131072         , 4096          , 1                  , 100               , 96.969696969697  , 94.4728208        
131072         , 8192          , 0                  , 4                 , 94.1176470588235 , 91.7176436        
131072         , 8192          , 1                  , 1                 , 94.1176470588235 , 90.719898         
131072         , 8192          , 1                  , 4                 , 94.1176470588235 , 89.5488798        
