#Data.in.Byte;Gap.in.Byte;Datasieving.1.on;Buffer.in.MByte;Performance.in.MByte/s;Prediction.in.MByte/s
#Data;Gap;Datasieving;Buffer;Performance
#Byte;Byte;on/off;MByte;MByte/s
204800;51200;1;1;77.493297
204800;51200;1;1;77.7111
204800;51200;1;1;77.054886
204800;102400;1;1;44.124913
204800;102400;1;1;40.803019
204800;102400;1;1;43.559558
204800;102400;1;1;41.085189
204800;102400;1;1;40.097397
204800;204800;1;1;49.2833
204800;204800;1;1;46.937747
204800;204800;1;1;48.842484
204800;204800;1;1;51.151898
204800;204800;1;1;48.505743
204800;409600;1;1;19.073501
204800;409600;1;1;18.065133
204800;409600;1;1;18.384588
204800;409600;1;1;17.821949
204800;409600;1;1;18.032607
204800;614400;1;1;28.500321
204800;614400;1;1;29.201497
204800;614400;1;1;28.804285
204800;614400;1;1;28.251278
204800;614400;1;1;28.609806
204800;819200;1;1;19.462909
204800;819200;1;1;19.002539
204800;819200;1;1;19.732839
204800;819200;1;1;19.843926
204800;819200;1;1;18.759868
204800;1024000;1;1;15.492385
204800;1024000;1;1;15.205428
204800;1024000;1;1;13.971831
204800;1024000;1;1;13.350702
204800;1024000;1;1;14.609403
204800;1228800;1;1;9.575026
204800;1228800;1;1;9.834565
204800;1228800;1;1;10.062325
204800;1228800;1;1;9.579295
204800;1228800;1;1;10.172543
204800;1433600;1;1;8.647003
204800;1433600;1;1;8.739639
204800;1433600;1;1;8.108499
204800;1433600;1;1;8.32572
204800;1433600;1;1;8.093888
204800;1638400;1;1;11.723775
204800;1638400;1;1;10.014369
204800;1638400;1;1;11.845625
204800;1638400;1;1;11.198208
204800;1638400;1;1;10.907382
204800;1843200;1;1;7.466104
204800;1843200;1;1;8.004748
204800;1843200;1;1;7.894963
204800;1843200;1;1;7.505038
204800;1843200;1;1;8.023428
204800;2048000;1;1;7.419194
204800;2048000;1;1;7.416867
204800;2048000;1;1;7.399991
204800;2048000;1;1;7.154081
204800;2048000;1;1;7.286993
204800;2252800;1;1;6.497737
204800;2252800;1;1;6.472713
204800;2252800;1;1;6.606687
204800;2252800;1;1;6.506187
204800;2252800;1;1;6.347639
204800;0;0;1;97.973323
204800;0;0;1;96.442355
204800;0;0;1;97.931947
204800;0;0;1;99.649857
204800;0;0;1;96.24699
524288;0;1;1;97.198614
524288;0;1;1;96.099315
524288;0;1;1;94.054032
524288;0;1;1;97.289604
524288;0;1;1;95.133168
524288;8192;1;1;73.424057
524288;8192;1;1;72.012218
524288;8192;1;1;70.106614
524288;8192;1;1;71.080385
524288;8192;1;1;68.573342
524288;16384;1;1;91.382487
524288;16384;1;1;92.608172
524288;16384;1;1;93.366304
524288;16384;1;1;93.483355
524288;16384;1;1;94.434978
524288;32768;1;1;90.383918
524288;32768;1;1;90.608304
524288;32768;1;1;89.623987
524288;32768;1;1;88.539758
524288;32768;1;1;91.976808
524288;65536;1;1;77.240773
524288;65536;1;1;75.07207
524288;65536;1;1;76.413836
524288;65536;1;1;78.137707
524288;65536;1;1;76.223118
524288;131072;1;1;67.842119
524288;131072;1;1;68.019922
524288;131072;1;1;70.069272
524288;131072;1;1;67.830784
524288;131072;1;1;66.380256
524288;262144;1;1;38.993759
524288;262144;1;1;40.575124
524288;262144;1;1;39.857858
524288;262144;1;1;41.244862
524288;262144;1;1;39.063751
524288;524288;1;1;59.240241
524288;524288;1;1;63.765984
524288;524288;1;1;57.753295
524288;524288;1;1;61.012692
524288;524288;1;1;60.457611
524288;1048576;1;1;27.279362
524288;1048576;1;1;26.195702
524288;1048576;1;1;26.994283
524288;1048576;1;1;27.685066
524288;1048576;1;1;25.841544
524288;1572864;1;1;36.196586
524288;1572864;1;1;37.080356
524288;1572864;1;1;35.176383
524288;1572864;1;1;34.914901
524288;1572864;1;1;34.214885
524288;2097152;1;1;23.034927
524288;2097152;1;1;23.775186
524288;2097152;1;1;23.534557
524288;2097152;1;1;23.309536
524288;2097152;1;1;23.437124
524288;2621440;1;1;29.270213
524288;2621440;1;1;29.377108
524288;2621440;1;1;29.343366
524288;2621440;1;1;29.407741
524288;2621440;1;1;29.362171
524288;3145728;1;1;22.600623
524288;3145728;1;1;22.070691
524288;3145728;1;1;22.569265
524288;3145728;1;1;22.871858
524288;3145728;1;1;22.356185
524288;3670016;1;1;29.247876
524288;3670016;1;1;29.158069
524288;3670016;1;1;29.381804
524288;3670016;1;1;29.333628
524288;3670016;1;1;29.432468
524288;4194304;1;1;20.863068
524288;4194304;1;1;21.146919
524288;4194304;1;1;20.857271
524288;4194304;1;1;21.098945
524288;4194304;1;1;21.309814
524288;4718592;1;1;27.980974
524288;4718592;1;1;28.375344
524288;4718592;1;1;28.656574
524288;4718592;1;1;28.482655
524288;4718592;1;1;27.686431
524288;5242880;1;1;20.384312
524288;5242880;1;1;20.3734
524288;5242880;1;1;21.104758
524288;5242880;1;1;20.550765
524288;5242880;1;1;20.326342
524288;5767168;1;1;28.204106
524288;5767168;1;1;29.422024
524288;5767168;1;1;28.51308
524288;5767168;1;1;29.311112
524288;5767168;1;1;29.142045
524288;0;0;1;95.380005
524288;0;0;1;96.210903
524288;0;0;1;97.336454
524288;0;0;1;96.545649
524288;0;0;1;95.688415
524288;8192;0;1;51.247875
524288;8192;0;1;53.187423
524288;8192;0;1;51.585189
524288;8192;0;1;49.170847
524288;8192;0;1;49.385151
524288;16384;0;1;91.488907
524288;16384;0;1;91.447734
524288;16384;0;1;94.001131
524288;16384;0;1;92.414386
524288;16384;0;1;92.371779
524288;32768;0;1;88.961786
524288;32768;0;1;89.74592
524288;32768;0;1;90.440614
524288;32768;0;1;90.435672
524288;32768;0;1;91.052086
524288;65536;0;1;68.868809
